ST_LEAID,SchoolYear,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,DistrictName,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Geometry,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
NJ-350510,2021-2022,70.6,28.9,80.1,Branchburg Township School District,51.7,69.8,67.5,76.8,76.2,84.4,NA,0.24365023474178404,58.9,26.9,66.1,72.6,84.6,59.9,65.9,63.6,48.8,55.8,35.6,N,0.09878965922444183,0.11866766467065867,8:1,120:1,162,13.4,12.3,76.5,107,8.4,4.0,37.0,32.0,15.0,11.0,16.3,2.9,34,127,142,136,149,133,155,125,132,172,0,0,0,0,1306
NJ-350555,2021-2022,65.2,22.4,72.4,Bridgewater-Raritan Regional School District,51.1,63.5,59.2,65.5,75.8,76.4,61.8,0.22398453491016604,50.9,18.4,56.3,52.2,72.1,59.0,57.0,52.7,47.0,36.1,20.4,89.4,0.09657686212361333,0.11832508833922262,11:1,175:1,763,13.7,13.5,87.7,598,7.5,5.0,41.0,30.0,13.0,11.0,15.9,7.9,146,397,518,544,591,551,611,607,715,688,703,652,633,688,8044
NJ-351610,2021-2022,40.1,10.4,47.9,Franklin Township Public School District,33.0,45.0,40.0,38.5,39.6,40.3,44.0,0.08021200358315915,26.1,<10%,30.5,19.1,44.7,38.2,33.7,30.9,19.7,17.6,*,71.4,0.03254160363086233,0.0457543391188251,9:1,145:1,752,11.2,9.5,70.3,1129,17.1,4.0,31.0,27.0,17.0,21.0,17.5,43.8,516,550,502,473,492,470,463,478,468,482,622,499,536,523,7074
NJ-351810,2021-2022,58.0,17.9,66.1,Green Brook Township Public School District,52.1,57.0,39.7,52.9,79.6,62.8,NA,0.23256,51.7,10.8,59.9,100.0,*,57.7,51.3,39.7,47.1,50.6,33.9,NA,0.08228571428571428,0.09012722646310432,9:1,150:1,82,11.6,11.2,76.5,110,15.6,5.0,30.0,28.0,19.0,18.0,16.2,4.9,38,79,55,64,71,78,80,85,95,97,0,0,0,0,742
NJ-352170,2021-2022,67.0,28.0,76.1,Hillsborough Township Public School District,68.2,74.5,61.5,64.0,67.3,71.0,64.8,0.20163806158505804,62.4,27.7,70.4,62.6,79.8,72.1,69.0,62.6,60.7,57.4,22.4,96.7,0.12991188318227592,0.16815463165572575,12:1,228:1,632,14.5,12.6,79.4,448,6.2,4.0,40.0,32.0,15.0,9.0,18.7,6.8,108,372,478,527,509,565,611,569,610,615,612,565,560,584,7285
NJ-353000,2021-2022,34.4,<10%,41.2,Manville School District,28.8,27.2,35.5,29.0,39.7,43.2,34.2,0.03984029484029484,14.6,<10%,17.1,12.5,13.6,24.8,19.4,16.1,*,14.7,*,*,0.009652278177458035,0.014122807017543862,11:1,134:1,150,10.2,8.2,58.7,336,22.3,2.0,24.0,30.0,18.0,27.0,19.6,46.1,108,112,92,123,108,129,111,108,117,139,128,117,113,103,1608
NJ-353320,2021-2022,71.8,24.5,78.9,Montgomery Township School District,51.8,72.7,75.8,63.5,81.6,71.6,81.8,0.26305859374999996,68.6,26.5,75.0,76.2,71.6,67.3,67.8,75.8,65.4,61.1,*,93.6,0.15209944751381216,0.1794334975369458,12:1,148:1,368,12.9,12.5,90.5,619,13.6,4.0,32.0,29.0,18.0,18.0,13.2,3.5,64,179,284,286,315,338,375,351,433,410,412,375,395,379,4596
NJ-353670,2021-2022,27.7,<10%,33.0,North Plainfield School District,16.2,30.6,26.9,21.5,33.8,29.1,32.6,0.03201487910725356,16.0,<10%,18.6,14.5,42.3,18.1,18.9,15.7,12.9,19.4,*,*,0.0070853080568720386,0.010354978354978357,11:1,130:1,318,9.7,9.0,68.6,486,14.7,4.0,30.0,31.0,17.0,18.0,17.8,62.6,199,214,241,230,228,227,261,201,258,266,291,284,299,305,3504
NJ-354810,2021-2022,69.5,*,73.6,Somerset County Vocational and Technical School District,NA,NA,NA,NA,NA,NA,69.5,0.41,49.2,*,50.9,27.3,*,NA,NA,NA,NA,NA,NA,78.3,0.10678571428571429,NA,8:1,48:1,59,12.1,10.1,81.4,34,5.6,4.0,53.0,30.0,9.0,3.0,17.5,10.3,0,0,0,0,0,0,0,0,0,0,101,138,123,115,477
NJ-354815,2021-2022,72.0,40.6,80.5,Somerset Hills Regional School District,58.4,72.3,70.2,69.2,73.5,86.2,70.6,0.2685594237695078,54.2,28.7,60.9,49.7,75.0,59.6,59.8,51.7,49.6,57.4,17.3,*,0.09634523809523811,0.11239171374764596,11:1,115:1,155,11.8,11.8,78.1,181,10.4,4.0,34.0,31.0,17.0,15.0,18.7,10.8,16,77,66,107,89,99,116,122,115,119,204,215,185,197,1727
NJ-354820,2021-2022,44.0,14.6,50.4,Somerville Public School District,27.9,43.9,52.0,35.0,41.9,50.5,46.7,0.08001075268817204,26.2,14.1,28.6,20.1,32.1,35.6,33.3,32.0,15.8,13.8,*,80.8,0.01828729281767956,0.026620553359683795,10:1,119:1,215,11.8,10.1,72.6,315,15.1,3.0,31.0,29.0,16.0,21.0,16.7,19.5,88,105,101,102,104,116,104,103,108,104,303,263,271,263,2135
NJ-354850,2021-2022,50.0,30.3,53.1,South Bound Brook Public School District,42.5,42.9,48.7,34.9,71.8,55.6,NA,0.10494117647058825,39.0,25.0,41.1,*,NA,29.3,42.3,25.0,34.9,59.0,12.5,NA,0.04843137254901961,0.05186046511627907,11:1,109:1,40,9.2,8.8,60.0,65,15.8,4.0,20.0,32.0,24.0,20.0,12.8,39.8,23,40,50,55,43,54,40,44,40,48,0,0,0,0,437
NJ-355470,2021-2022,65.5,30.6,72.5,Warren Township School District,60.8,66.9,74.9,59.5,65.2,65.7,NA,0.15638589618021548,62.3,25.3,69.7,88.7,100.0,67.5,62.5,62.7,56.3,62.9,26.1,NA,0.1511661807580175,0.16871084337349398,8:1,121:1,197,14.9,13.7,82.2,149,9.8,4.0,36.0,32.0,15.0,14.0,17.0,3.9,49,161,157,162,169,159,186,177,163,184,0,0,0,0,1567
NJ-355540,2021-2022,70.6,26.2,79.6,Watchung Borough School District,50.7,66.2,77.8,80.6,78.6,73.8,NA,0.18,58.6,16.9,66.9,88.9,*,71.2,57.4,65.2,49.3,50.9,30.8,N,0.1405852417302799,0.16318042813455658,9:1,127:1,67,10.9,10.0,62.7,70,11.7,2.0,32.0,30.0,21.0,16.0,16.9,0.0,34,57,67,77,74,69,66,68,57,65,0,0,0,0,634
NJ-355550,2021-2022,65.0,19.4,74.4,Watchung Hills Regional High School District,NA,NA,NA,NA,NA,NA,65.1,0.21999999999999997,47.1,20.0,53.0,31.5,59.3,NA,NA,NA,NA,NA,NA,90.9,0.03954337899543379,NA,11:1,106:1,158,13.9,13.2,84.8,329,17.8,4.0,26.0,27.0,21.0,23.0,14.6,2.1,0,0,0,0,0,0,0,0,0,0,432,430,439,505,1806
NJ-370090,2021-2022,56.4,12.1,68.8,Andover Regional School District,38.5,61.8,53.8,37.8,74.5,66.7,NA,0.1551865671641791,52.1,15.5,62.3,100.0,N,53.8,67.6,36.5,36.4,55.3,50.0,NA,0.0652434456928839,0.08064814814814815,8:1,71:1,53,9.7,9.7,64.2,49,12.0,3.0,24.0,32.0,23.0,18.0,20.9,8.7,15,52,48,36,41,35,52,45,48,52,0,0,0,0,424
NJ-370640,2021-2022,64.6,37.2,73.1,Byram Township School District,40.7,66.3,65.6,61.3,76.2,76.0,NA,0.15126605504587157,47.8,28.7,53.7,92.6,N,48.8,39.8,42.2,49.5,52.9,37.7,NA,0.04377049180327869,0.04649006622516556,11:1,166:1,77,14.0,12.0,81.8,72,9.2,2.0,28.0,36.0,20.0,14.0,21.4,3.4,34,67,97,69,87,83,93,108,88,96,0,0,0,0,822
NJ-371560,2021-2022,57.1,15.8,66.0,Frankford Township Consolidated School District,40.9,37.5,32.2,75.9,71.4,80.3,NA,0.1392857142857143,37.3,19.3,41.2,95.2,N,56.8,27.1,16.9,38.9,44.6,10.0,NA,0.03658385093167702,0.04111111111111111,9:1,131:1,55,13.3,10.9,78.2,62,12.6,2.0,20.0,33.0,26.0,19.0,19.5,7.5,27,62,48,58,45,48,60,55,57,62,0,0,0,0,522
NJ-371570,2021-2022,49.7,15.3,61.2,Franklin Borough School District,25.0,57.4,54.7,37.5,55.8,62.2,NA,0.09143835616438356,29.4,11.1,35.5,46.7,NA,39.6,40.7,32.1,12.5,17.3,13.3,NA,0.03890410958904109,0.04599190283400809,10:1,123:1,50,12.6,10.8,74.0,122,28.8,4.0,24.0,24.0,16.0,32.0,22.9,10.4,65,44,51,35,48,54,56,40,51,46,0,0,0,0,490
NJ-371630,2021-2022,58.5,38.9,63.2,Fredon Township School District,45.0,52.2,48.0,75.9,NA,NA,NA,0.04185567010309279,35.1,22.2,38.2,NA,NA,50.0,39.1,28.0,27.6,NA,NA,NA,0.01979381443298969,0.01979381443298969,8:1,93:1,24,11.6,9.9,62.5,37,21.4,1.0,10.0,27.0,35.0,28.0,18.4,4.3,12,25,20,32,20,22,25,29,0,0,0,0,0,0,185
NJ-371800,2021-2022,65.1,20.0,73.4,Green Township School District,48.9,52.5,70.0,80.0,60.0,81.4,NA,0.20434615384615384,48.8,<10%,56.9,92.9,NA,48.9,45.0,50.0,55.0,48.0,24.1,NA,0.08096153846153846,0.09248847926267281,9:1,98:1,45,10.6,9.6,62.2,38,9.9,2.0,29.0,38.0,18.0,13.0,18.4,4.6,0,35,36,52,50,39,40,40,51,43,0,0,0,0,386
NJ-371930,2021-2022,54.5,20.6,67.8,Hamburg School District,20.0,50.0,38.9,47.1,63.6,82.8,NA,0.135546875,42.1,14.7,52.9,63.6,NA,30.0,36.4,22.2,35.3,55.0,55.0,NA,0.01640625,0.021649484536082474,9:1,86:1,29,15.8,12.9,82.8,52,25.1,0,23.0,26.0,23.0,28.0,24.7,17.8,41,36,26,27,21,23,20,16,20,29,0,0,0,0,259
NJ-371980,2021-2022,58.6,<10%,69.6,Hampton Township School District,37.8,65.8,68.3,67.9,NA,NA,NA,0.11756578947368422,42.1,<10%,49.6,NA,NA,46.7,34.2,48.8,32.1,NA,NA,NA,0.005394736842105264,0.005394736842105264,7:1,78:1,44,10.7,8.6,58.1,28,9.9,4.0,28.0,37.0,17.0,13.0,20.6,9.4,29,36,35,51,46,41,44,28,0,0,0,0,0,0,310
NJ-372030,2021-2022,58.0,28.7,66.9,Hardyston Township School District,46.6,68.5,55.6,55.0,44.3,75.0,NA,0.13895287958115182,40.1,20.7,46.0,95.7,NA,50.0,50.0,18.1,31.7,28.6,48.9,NA,0.03947643979057592,0.042292993630573254,10:1,200:1,61,11.6,10.6,68.9,101,18.0,1.0,24.0,29.0,22.0,23.0,24.2,7.8,33,67,48,63,58,53,73,62,71,71,0,0,0,0,599
NJ-372165,2021-2022,44.4,<10%,52.0,High Point Regional High School District,NA,NA,NA,NA,NA,NA,45.0,0.07,27.6,<10%,32.2,21.6,68.2,NA,NA,NA,NA,NA,NA,*,0.008937198067632851,NA,11:1,89:1,75,17.3,15.4,90.7,168,20.4,2.0,21.0,29.0,24.0,25.0,14.7,11.5,0,0,0,0,0,0,0,0,0,0,186,189,209,217,801
NJ-372240,2021-2022,33.1,14.8,38.5,Hopatcong Borough School District,43.0,36.7,36.1,43.3,32.5,24.3,16.3,0.04102666666666666,21.4,11.3,24.3,10.5,28.6,37.7,19.1,25.0,24.4,23.1,*,*,0.012529960053262318,0.017329650092081032,10:1,175:1,135,14.6,14.4,88.1,258,18.7,2.0,27.0,30.0,18.0,23.0,27.4,18.7,31,109,105,99,115,109,108,89,121,116,101,107,93,100,1403
NJ-372465,2021-2022,54.6,10.3,64.3,Kittatinny Regional School District,NA,NA,NA,NA,62.6,46.7,52.5,0.1261038961038961,26.3,<10%,29.9,26.4,48.5,NA,NA,NA,NA,29.7,13.3,N,0.006187989556135771,0.01,9:1,88:1,86,16.9,14.4,93.0,172,21.7,1.0,18.0,28.0,23.0,31.0,14.9,7.2,0,0,0,0,0,0,0,0,140,108,140,144,134,123,789
NJ-372490,2021-2022,40.6,15.4,47.1,Lafayette Township School District,16.7,36.0,52.2,47.6,53.3,40.0,NA,0.05240601503759399,37.5,11.5,44.1,50.0,N,37.5,52.0,39.1,33.3,21.4,*,NA,0.028939393939393942,0.03570093457943926,8:1,71:1,27,14.6,11.4,64.0,10,5.2,4.0,40.0,34.0,15.0,7.0,17.0,10.4,10,32,23,15,24,25,22,22,13,26,0,0,0,0,212
NJ-372615,2021-2022,54.7,20.8,73.2,Lenape Valley Regional High School District,NA,NA,NA,NA,NA,NA,54.4,0.1,51.1,21.9,60.0,40.4,76.3,NA,NA,NA,NA,NA,NA,N,0.022189781021897812,NA,12:1,64:1,54,14.5,11.1,72.2,62,9.5,2.0,26.0,41.0,17.0,14.0,19.6,8.7,0,0,0,0,0,0,0,0,0,0,152,183,144,162,641
NJ-373300,2021-2022,47.9,<10%,56.0,Montague Township School District,40.0,48.1,33.3,50.0,51.4,64.3,NA,0.10503311258278146,34.3,<10%,40.5,N,NA,63.3,40.7,18.5,22.2,14.3,35.7,NA,0.0456953642384106,0.050364963503649635,9:1,57:1,32,11.9,8.5,41.4,23,9.9,3.0,26.0,36.0,18.0,16.0,18.3,30.3,45,29,29,31,30,27,26,18,35,14,0,0,0,0,284
NJ-373590,2021-2022,45.5,<10%,55.6,Newton Public School District,42.3,58.7,20.3,43.2,38.7,51.1,51.9,0.08492354740061162,24.6,<10%,30.2,24.6,53.3,41.7,30.3,*,*,32.3,11.3,*,0.027236641221374047,0.04007915567282322,11:1,144:1,138,12.3,11.9,81.6,358,24.7,3.0,24.0,25.0,19.0,29.0,18.8,18.6,143,91,83,78,72,76,66,78,96,88,195,165,171,182,1584
NJ-373840,2021-2022,56.0,21.7,71.2,Ogdensburg Borough School District,55.6,46.2,66.7,52.4,61.3,60.9,NA,0.1597315436241611,37.3,10.9,49.0,56.3,NA,48.1,42.3,47.6,*,29.0,*,NA,0.03464788732394366,0.03142857142857143,11:1,69:1,26,10.2,8.6,57.7,65,27.5,1.0,18.0,22.0,25.0,34.0,23.6,13.8,37,25,26,29,27,27,22,23,33,26,0,0,0,0,275
NJ-374650,2021-2022,53.3,*,59.6,Sandyston-Walpack Consolidated School District,53.8,46.7,35.7,68.4,NA,NA,NA,0.12901639344262297,38.3,*,44.2,NA,NA,53.8,13.3,28.6,52.6,NA,NA,NA,0.01557377049180328,0.01557377049180328,9:1,43:1,15,10.8,9.2,66.7,15,11.8,2.0,23.0,28.0,32.0,15.0,20.0,10.8,0,30,16,21,13,15,14,19,0,0,0,0,0,0,128
NJ-374960,2021-2022,57.8,20.0,66.8,Sparta Township Public School District,55.8,59.3,62.8,53.0,56.0,55.8,59.8,0.10919113241461954,47.3,21.5,53.5,60.2,60.6,53.7,45.6,46.1,31.0,48.8,25.5,73.7,0.04878934624697336,0.062357080035180305,11:1,112:1,292,11.8,11.8,78.4,720,22.6,1.0,16.0,29.0,25.0,29.0,17.6,3.5,92,214,234,221,232,233,251,238,244,250,268,247,279,257,3260
NJ-375030,2021-2022,56.8,30.4,67.6,Stanhope School District,19.4,69.0,65.7,50.0,78.6,55.3,NA,0.19626315789473683,39.1,21.4,46.3,73.3,NA,38.9,41.4,57.1,16.7,34.6,*,NA,0.027,0.0342,10:1,102:1,31,12.5,11.1,74.2,36,12.8,3.0,28.0,33.0,20.0,16.0,28.2,10.2,14,26,36,31,37,30,37,24,31,39,0,0,0,0,305
NJ-375040,2021-2022,65.5,25.9,78.3,Stillwater Township School District,81.5,53.6,57.7,75.0,NA,NA,NA,0.1666371681415929,60.0,25.9,71.1,NA,NA,51.9,64.3,57.7,65.6,NA,NA,NA,0.07973451327433628,0.07973451327433628,8:1,69:1,34,12.8,9.6,70.6,29,13.6,1.0,22.0,31.0,24.0,21.0,24.4,8.7,56,32,27,38,27,32,27,33,0,0,0,0,0,0,272
NJ-375100,2021-2022,43.6,10.8,53.9,Sussex-Wantage Regional School District,31.9,37.3,29.7,49.0,57.8,51.9,NA,0.08759112519809827,27.9,12.2,32.8,15.2,N,48.4,34.7,27.7,17.3,24.8,*,NA,0.026623794212218648,0.02977055449330784,10:1,174:1,106,13.1,12.7,82.1,343,34.3,1.0,14.0,21.0,23.0,41.0,23.3,21.4,42,110,130,118,94,118,100,105,112,113,0,0,0,0,1042
NJ-375110,2021-2022,39.0,<10%,47.1,Sussex County Technical School District,NA,NA,NA,NA,NA,NA,39.0,0.049999999999999996,26.6,<10%,30.6,26.1,30.8,NA,NA,NA,NA,NA,NA,N,0.009252873563218392,NA,11:1,100:1,61,9.3,9.3,78.7,176,24.7,2.0,15.0,28.0,29.0,27.0,22.3,6.1,0,0,0,0,0,0,0,0,0,0,182,185,164,169,700
NJ-375360,2021-2022,42.6,16.3,50.9,Vernon Township School District,26.5,43.0,50.0,41.5,36.1,45.1,53.2,0.06569199457259159,33.3,13.0,39.6,22.7,55.6,34.4,44.0,38.9,33.2,35.8,*,*,0.026319018404907975,0.03368421052631579,12:1,173:1,254,13.1,13.1,78.7,519,18.2,3.0,21.0,29.0,24.0,23.0,24.3,12.2,110,217,179,222,191,203,218,220,205,217,245,233,221,263,2944
NJ-375435,2021-2022,48.6,<10%,59.8,Wallkill Valley Regional High School,NA,NA,NA,NA,NA,NA,47.9,0.060000000000000005,20.1,<10%,24.8,18.5,*,NA,NA,NA,NA,NA,NA,*,0.01,NA,12:1,88:1,52,16.6,12.8,76.9,255,40.7,1.0,13.0,22.0,18.0,46.0,20.9,14.1,0,0,0,0,0,0,0,0,0,0,156,151,146,163,616
NJ-390310,2021-2022,68.5,22.2,77.1,Berkeley Heights School District,60.4,69.4,71.9,77.3,84.2,73.8,48.2,0.19649921507064363,64.1,22.2,71.8,49.5,44.8,85.9,69.2,70.8,61.3,69.9,*,81.8,0.1428549019607843,0.19315729047072333,11:1,109:1,237,12.2,10.5,73.4,192,7.8,5.0,37.0,33.0,15.0,11.0,16.4,2.1,46,144,141,161,172,161,186,184,197,167,227,277,222,223,2508
NJ-390850,2021-2022,62.8,28.3,70.4,Clark Township Public School District,60.0,71.2,70.7,59.3,71.6,51.3,60.8,0.18036437246963563,48.4,21.9,54.2,47.3,55.4,63.6,63.5,49.7,38.0,46.0,19.5,*,0.05781376518218624,0.07119952494061758,12:1,150:1,187,13.0,11.9,75.8,231,10.3,3.0,26.0,34.0,22.0,14.0,18.4,0.5,35,135,151,159,167,180,157,182,177,198,190,157,178,178,2244
NJ-390980,2021-2022,72.5,29.0,81.9,Cranford Public School District,71.5,76.2,71.4,69.3,76.7,76.7,67.3,0.2216549295774648,59.3,25.5,66.5,53.3,39.5,78.7,64.2,63.7,61.8,62.7,18.8,N,0.12176648213387015,0.15709278350515463,11:1,143:1,344,13.8,11.1,74.1,307,8.4,2.0,33.0,35.0,18.0,12.0,17.6,1.5,70,231,270,295,289,283,295,314,297,292,262,246,288,288,3720
NJ-391320,2021-2022,42.4,15.8,46.5,Elizabeth Public Schools,29.0,36.5,40.0,44.4,50.7,41.8,51.9,0.10586855932868011,19.4,11.5,20.6,15.8,*,30.2,19.9,20.9,18.1,15.1,*,36.9,0.01904628537735849,0.028045763082986647,13:1,318:1,2176,12.3,12.3,81.0,4796,19.4,4.0,31.0,28.0,15.0,22.0,11.9,76.3,3129,1885,1853,1805,1870,1913,1915,1918,2037,2042,2376,1703,1605,1591,27642
NJ-391710,2021-2022,58.3,<10%,68.8,Garwood Boro,51.4,78.4,62.8,63.3,45.5,48.9,NA,0.1144017094017094,45.9,<10%,54.0,60.0,NA,40.0,78.4,48.8,46.7,34.1,*,NA,0.028675213675213675,0.03021164021164021,10:1,119:1,35,12.9,9.7,61.8,38,10.9,5.0,33.0,30.0,17.0,14.0,17.3,10.3,9,37,43,35,35,37,44,31,43,44,0,0,0,0,358
NJ-392190,2021-2022,41.4,<10%,46.7,Hillside Public School District,34.7,43.8,40.1,46.5,44.6,42.2,38.9,0.07965588437715072,13.9,<10%,15.9,10.4,13.2,28.2,13.3,15.5,13.7,14.4,*,*,0.007813134732566012,0.011727642276422763,11:1,111:1,276,11.9,9.8,68.1,687,25.0,4.0,24.0,25.0,18.0,29.0,15.1,43.6,272,187,204,184,202,205,188,218,244,234,238,232,220,178,3006
NJ-392420,2021-2022,39.8,<10%,44.7,Kenilworth School District,34.8,27.2,52.1,36.9,38.5,40.4,47.1,0.04953764861294584,28.1,<10%,31.1,28.6,27.3,46.7,34.0,47.4,18.1,20.5,*,N,0.01647668393782383,0.025288270377733596,11:1,132:1,136,12.9,11.3,76.5,233,16.2,2.0,24.0,31.0,23.0,20.0,13.0,13.3,44,91,83,87,92,93,97,107,117,141,120,137,112,134,1455
NJ-392660,2021-2022,32.1,<10%,37.2,Linden Public School District,26.3,31.8,41.3,25.7,33.7,33.9,30.2,0.04824694618686035,16.3,<10%,18.6,13.3,*,27.7,16.9,17.8,10.2,21.0,*,*,0.013982045527412633,0.01987693710118505,10:1,143:1,577,12.3,11.5,80.1,1116,19.7,5.0,25.0,26.0,18.0,25.0,16.7,49.9,384,411,391,390,448,449,435,473,421,484,439,442,407,426,6000
NJ-393470,2021-2022,81.7,56.4,85.0,Mountainside School District,67.9,87.5,65.1,93.5,91.2,85.4,NA,0.33866108786610877,72.2,40.0,76.4,63.3,*,73.2,77.5,60.7,75.3,85.2,*,*,0.17576017130620986,0.19623342175066313,10:1,147:1,72,10.0,8.9,72.2,36,5.0,3.0,38.0,34.0,18.0,8.0,11.2,0.8,19,70,89,71,82,80,85,79,71,89,0,0,0,0,735
NJ-393560,2021-2022,80.9,37.8,87.6,New Providence School District,70.0,89.5,83.1,88.9,83.8,80.4,73.2,0.35575037147102523,72.7,28.7,79.4,65.7,80.2,80.6,82.0,75.3,72.1,73.4,37.1,*,0.2232396449704142,0.26072375127421,12:1,167:1,200,13.7,10.8,75.9,103,4.4,6.0,48.0,30.0,10.0,7.0,13.2,2.4,46,127,163,175,216,193,193,207,183,190,171,162,172,142,2340
NJ-394160,2021-2022,20.0,<10%,22.5,Plainfield Public School District,15.7,17.4,24.0,14.3,22.4,22.2,22.3,0.02564773293472845,12.0,<10%,12.6,*,*,21.9,*,11.6,*,*,*,N,0.0045029371893357435,0.006216469120399251,16:1,213:1,616,13.4,10.2,69.5,2442,28.7,4.0,23.0,24.0,16.0,32.0,13.1,66.4,1511,758,735,712,718,657,610,708,650,654,731,548,498,500,9990
NJ-394290,2021-2022,31.2,<10%,36.2,Rahway Public School District,22.6,36.4,33.8,31.9,29.2,32.0,31.8,0.03136708860759494,15.0,<10%,16.7,*,*,25.5,21.5,12.3,13.6,14.3,*,30.0,0.00682069311903566,0.01022590361445783,12:1,143:1,324,12.2,12.1,79.9,1154,31.3,2.0,19.0,24.0,20.0,36.0,16.8,49.6,375,260,267,245,277,259,293,288,281,316,342,286,270,239,3998
NJ-394540,2021-2022,30.2,<10%,33.9,Roselle Public School District,31.7,43.6,28.2,29.5,34.7,23.3,24.0,0.05606180144641683,12.5,<10%,13.9,*,*,23.3,22.8,10.3,*,17.6,*,N,0.00562862669245648,0.008031278748850046,11:1,90:1,275,8.5,8.5,62.2,646,23.2,4.0,25.0,24.0,18.0,30.0,12.4,54.8,89,204,213,199,229,208,228,215,229,258,216,226,206,174,2894
NJ-394550,2021-2022,47.4,17.5,54.6,Roselle Park Public School District,29.7,43.8,54.9,41.5,62.0,50.0,44.8,0.10615236258437803,31.5,14.7,35.4,31.9,52.4,36.4,19.5,24.3,28.7,38.9,*,N,0.02337723424270931,0.02333810888252149,11:1,154:1,175,14.9,13.7,89.3,385,20.1,2.0,21.0,27.0,22.0,28.0,18.4,35.5,101,127,125,127,132,138,144,145,173,165,169,162,146,150,2004
NJ-394670,2021-2022,65.5,29.0,73.6,Scotch Plains-Fanwood School District,61.0,70.1,60.7,62.4,61.2,73.6,70.5,0.17132407720961734,56.4,25.4,63.2,57.8,50.0,73.4,68.2,54.6,39.4,54.0,*,*,0.09428426051560379,0.11692343387470998,12:1,188:1,455,11.9,10.9,76.5,489,9.1,3.0,34.0,32.0,18.0,12.0,16.4,2.9,172,414,372,390,433,424,407,453,449,421,378,386,350,409,5458
NJ-395000,2021-2022,62.5,19.2,71.2,Springfield Public School District,65.9,66.2,67.1,55.2,64.5,64.1,56.9,0.17557069846678025,46.9,15.3,53.0,41.1,40.7,71.6,66.5,64.8,37.1,29.9,*,55.0,0.09222696245733789,0.12600518806744487,12:1,144:1,173,13.6,12.1,82.1,173,8.3,4.0,32.0,34.0,17.0,12.0,16.3,9.6,101,164,143,161,132,154,164,173,168,197,186,148,149,111,2151
NJ-395090,2021-2022,81.4,50.4,86.3,Summit Public School District,77.8,84.5,85.4,77.4,83.1,84.2,79.4,0.33983132530120486,69.0,34.1,74.3,81.2,93.2,78.9,76.2,69.2,59.0,65.1,34.3,N,0.19587463556851312,0.23188045668233712,11:1,130:1,365,9.3,9.3,70.7,284,7.4,4.0,38.0,33.0,15.0,10.0,12.9,10.2,59,230,304,313,288,290,299,338,308,311,297,292,271,290,3890
NJ-395260,2021-2022,88.4,*,88.9,Union County Vocational-Technical School District,NA,NA,NA,NA,NA,NA,88.4,0.4,79.2,*,79.4,77.9,77.1,NA,NA,NA,NA,NA,NA,100.0,0.16132723112128147,NA,14:1,91:1,140,8.7,7.3,62.9,295,14.0,7.0,36.0,30.0,16.0,10.0,8.0,10.2,0,0,0,0,0,0,0,0,0,0,445,457,487,531,1920
NJ-395290,2021-2022,42.9,15.7,48.1,Township of Union School District,40.8,37.4,37.2,44.6,50.9,46.7,40.6,0.08424282328153805,25.4,<10%,28.6,29.3,24.8,38.3,25.2,21.5,17.8,28.7,11.6,N,0.02685677083333333,0.0316586091483823,13:1,196:1,578,13.3,12.2,86.9,1367,19.2,5.0,26.0,25.0,19.0,25.0,15.5,5.2,401,467,495,504,531,517,538,557,571,597,608,547,527,580,7440
NJ-395730,2021-2022,72.4,34.9,82.0,Westfield Public School District,68.8,76.6,77.5,64.8,70.7,73.8,75.9,0.20615686274509806,70.3,35.0,79.4,76.0,86.6,80.1,75.4,74.1,62.2,63.3,25.8,*,0.1577318030806403,0.18467116357504218,11:1,202:1,513,12.4,12.4,81.7,245,4.2,4.0,41.0,35.0,13.0,7.0,19.8,1.2,99,156,436,444,505,460,462,514,469,472,462,450,468,455,5852
NJ-395810,2021-2022,31.2,<10%,35.8,Winfield Township,*,12.5,29.4,33.3,28.6,36.4,NA,NA,<10%,<10%,10.4,*,NA,*,*,*,*,*,*,NA,0,0,7:1,47:1,20,11.7,7.0,65.0,29,24.0,3.0,24.0,25.0,21.0,27.0,12.8,20.6,22,14,14,15,7,16,17,11,14,11,0,0,0,0,141
